Mnemonic      Mnemonic description
SATHOME  HOW SATISFIED WITH YOUR PURCHASE
LAWYER   HIRED A LAWYER IN THE PAST 10 YRS?
LAWYERA  MY OWN PREVIOUS KNOWLEDGE OF THE FIRM
LAWYERB  A FRIEND OR RELATIVE RECOMMENDED THEM
LAWYERC  AN ACQUAINTANCE RECOMMENDED THEM.
LAWYERD  GENERAL REPUTATION IN THE COMMUNITY
LAWYERE  I SAW THEIR ADVERTISEMENT
LAWYERF  I SEARCHED FOR THE BEST PRICE.
LAWYERG  CONVENIENCE
LAWYER1  WHAT WAS THE MOST IMPORTANT REASON?
RELLAW   RELATIONSHIP TO THE ATTORNEY
SATLAWYR HOW SATISFIED WITH THE LEGAL SERVICES
FIXHOME  HOME MAINTENANCE SERVICES PAST 10 YEARS?
FIXERA   MY OWN PREVIOUS KNOWLEDGE OF THE FIRM
FIXERB   A FRIEND OR RELATIVE RECOMMENDED THEM
FIXERC   AN ACQUAINTANCE RECOMMENDED THEM.
FIXERD   GENERAL REPUTATION IN THE COMMUNITY
FIXERE   I SAW THEIR ADVERTISEMENT
FIXERF   I SEARCHED FOR THE BEST PRICE
FIXER1   WHAT WAS THE MOST IMPORTANT REASON?
RELFIXER RELATIONSHIP TO THE PERSON WHO DID THE WORK
SATFIXES HOW SATISFIED WERE YOU WITH THE WORK
BORROWED HAVE YOU BORROWED $100+ FROM ANOTHER PERSON
WHOLOAND FROM WHOM DID YOU BORROW THIS MONEY?
SELLBED  WOULD YOU RATHER SELL BEDROOM FURNITURE
SELLAUTO O WOULD YOU RATHER SELL AN AUTOMOBILE
SELLHOME E WOULD YOU RATHER SELL A HOUSE-CONDOMINIUM
TRANSOTH HWOULD YOU BE TO MENTION PROBLEMS
LOANED   LOANED $100+ PAST 12 MONTHS?
LOANEDTO OTO WHOM DID YOU LEND THIS MONEY?
BUYBED   WOULD YOU BUY FURNITURE FROM A BUSINESS
BUYAUTO  WOULD YOU BUY A CAR FROM A BUSINESS
BUYLAW   WOULD YOU BUY LEGAL SVCS FROM A BUSINESS
BUYFIXES WOULD YOU BUY HOME MAINTENANCE FROM A BUSINESS
BUYHOME  WOULD YOU BUY A HOUSE FROM A BUSINESS
TRANSREL HOW LIKELY TO MENTION PROBLEMS TO RELATIVES
                                         Page 39          Index
FRNDDEAL PEOPLE USUALLY GET A BETTER PRICE FROM FRIENDS
FRNDAWK  DISCUSSING PRICE IS AWKWARD AMONG FRIENDS
TABLPRCE THE FACTORY NOT LOWERING PRICE ACCEPTABLE?
ORGANSB  WHICH PROCEDURES BE USED TO ASSIGN THE ORGAN
ORGANSW  WHICH OF THESE PROCEDURES WOULD BE THE WORST?
SELLORGN SHOULD PEOPLE BE PERMITTED TO SELL A KIDNEY
ADOPTION BEST WAY TO MATCH BIRTH MOTHERS WITH ADOPTERS?
SELLBABY SURROGATE MOTHERS SHOULD BE PERMITTED
SELLSEX  NOTHING INHERENTLY WRONG WITH PROSTITUTION
REQINFO  RESP. OF GOV. TO REQUIRE BIZ. TO PROVIDE INFO
NATRECON NATURAL ENVIRONMENTS SHOULD BE LEFT ALONE
TAGSALES HOW FREQUENTLY DO YOU GO TO GARAGE SALES ETC
HAGGLE   DO YOU EXPECT TO NEGOTIATE FOR A LOWER PRICE?
WKFAMBIZ WORK FOR PAY IN A FARM ETC OWNED BY YOUR FAMILY?
HRFAMBIZ HOW MANY HOURS PER WEEK?
FAMBIZ   WHAT KIND OF BUSINESS IS THIS?
ECONSYS  BEST-NEEDS REPLACED
FAMFINAN HOW YOU AND YOUR SPOUSE ORGANIZE YOUR FINANCES
DECAUTO  DECIDING WHETHER OR NOT TO BUY AN AUTOMOBILE
DECBED   DECIDING WHETHER OR NOT TO BUY BEDROOM FURNITURE
DECGIFT  DECIDING ON MAJOR CHARITABLE GIFTS.
LAYOFFS  WHO HAS THE GREATEST RIGHT TO KEEP THEIR JOBS?
VOLHLTH  DONE VOLUNTEER WORK IN HEALTH PAST 12 MNTHS
VOLEDUC  DONE VOLUNTEER WORK IN EDUCATION
VOLRELIG DONE VOLUNTEER WORK IN RELIGIOUS ORG
VOLHUMAN DONE VOLUNTEER WORK IN HUMAN SERVICES
VOLENVIR DONE VOLUNTEER WORK IN ENVIRONMENT
VOLPUB   DONE VOLUNTEER WORK IN PUB-SOC BENEFIT
VOLREC   DONE VOLUNTEER WORK IN RECREATION ADULTS
VOLART   DONE VOLUNTEER WORK IN ARTS, CULTURE, ETC
VOLWORK  DONE VOLUNTEER WORK IN WORK-RELATED ORG
VOLPOL   DONE VOLUNTEER WORK IN POLITICAL ORG. ETC
VOLYOUTH DONE VOLUNTEER WORK IN YOUTH DEVELOPMENT
VOLFOUND DONE VOLUNTEER WORK IN PRIV & COMM. FOUND
VOLINTL  DONE VOLUNTEER WORK IN INTERNATIONAL
VOLINFRM DONE VOLUNTEER WORK IN INFORMAL-ALONE
VOLOTH   DONE VOLUNTEER WORK IN OTHER (SPECIFY)___
MONHLTH  DONE VOLUNTEER WORK IN HEALTH PAST MONTH
MONEDUC  DONE VOLUNTEER WORK IN EDUCATION
MONRELIG DONE VOLUNTEER WORK IN RELIGIOUS ORG
MONHUMAN DONE VOLUNTEER WORK IN HUMAN SERVICES
MONENVIR DONE VOLUNTEER WORK IN ENVIRONMENT
MONPUB   DONE VOLUNTEER WORK IN PUB-SOC BENEFIT
MONREC   DONE VOLUNTEER WORK IN RECREATION ADULTS
MONART   DONE VOLUNTEER WORK IN ARTS, CULTURE, ETC
MONWORK  DONE VOLUNTEER WORK IN WORK-RELATED ORG
MONPOL   DONE VOLUNTEER WORK IN POLITICAL ORG. ETC
MONYOUTH H DONE VOLUNTEER WORK IN YOUTH DEVELOPMENT
MONFOUND DONE VOLUNTEER WORK IN PRIV & COMM. FOUND
MONINTL  DONE VOLUNTEER WORK IN INTERNATIONAL
MONINFRM DONE VOLUNTEER WORK IN INFORMAL-ALONE
MONOTH   DONE VOLUNTEER WORK IN OTHER (SPECIFY)
                                       Page 40            Index
HRSHLTH  HOW MANY HOURS SPENT IN HEALTH PAST MONTH
HRSEDUC  HOW MANY HOURS SPENT IN EDUCATION
HRSRELIG HOW MANY HOURS SPENT IN RELIGIOUS ORG PAST
HRSHUMAN HOW MANY HOURS SPENT IN HUMAN SERVICES
HRSENVIR HOW MANY HOURS SPENT IN ENVIRONMENT
HRSPUB   HOW MANY HOURS SPENT IN PUB-SOC BENEFIT
HRSREC   HOW MANY HOURS SPENT IN RECREATION ADULTS
HRSART   HOW MANY HOURS SPENT IN ARTS, CULTURE
HRSWORK  HOW MANY HOURS SPENT IN WORK-RELATED ORG
HRSPOL   HOW MANY HOURS SPENT IN POLITICAL ORG. ETC
HRSYOUTH HOW MANY HOURS SPENT IN YOUTH DEVELOPMENT
HRSFOUND HOW MANY HOURS SPENT IN PRIV & COMM.
HRSINTL  HOW MANY HOURS SPENT IN INTERNATIONAL
HRSINFRM HOW MANY HOURS SPENT IN INFORMAL-ALONE
HRSOTH   HOW MANY HOURS SPENT IN OTHER (SPECIFY)
GIVHLTH  CONTRIBUTED MONEY IN 1995 IN HEALTH
GIVEDUC  CONTRIBUTED MONEY IN EDUCATION
GIVRELIG CONTRIBUTED MONEY IN RELIGIOUS ORG
GIVHUMAN CONTRIBUTED MONEY IN HUMAN SERVICES
GIVENVIR CONTRIBUTED MONEY IN ENVIRONMENT
GIVPUB   CONTRIBUTED MONEY IN PUB-SOC BENEFIT
GIVREC   CONTRIBUTED MONEY IN RECREATION ADULTS
GIVART   CONTRIBUTED MONEY IN ARTS, CULTURE, ETC
GIVWORK  CONTRIBUTED MONEY IN WORK-RELATED ORG
GIVPOL   CONTRIBUTED MONEY IN POLITICAL ORG. ETC
GIVYOUTH CONTRIBUTED MONEY IN YOUTH DEVELOPMENT
GIVFOUND CONTRIBUTED MONEY IN PRIV & COMM. FOUND
GIVINTL  CONTRIBUTED MONEY IN INTERNATIONAL
GIVINFRM CONTRIBUTED MONEY IN INFORMAL-ALONE
GIVOTH   CONTRIBUTED MONEY IN OTHER (SPECIFY)
TOTHLTH  HOW MUCH MONEY CONTRIBUTED IN HEALTH
TOTEDUC  HOW MUCH MONEY CONTRIBUTED IN EDUCATION
TOTRELIG HOW MUCH MONEY CONTRIBUTED IN RELIGIOUS ORG
TOTHUMAN HOW MUCH MONEY CONTRIBUTED IN HUMAN SERVICES
TOTENVIR HOW MUCH MONEY CONTRIBUTED IN ENVIRONMENT
TOTPUB   HOW MUCH MONEY CONTRIBUTED IN PUB-SOC BENEFIT
TOTREC   HOW MUCH MONEY CONTRIBUTED IN RECREATION ADULTS
TOTART   HOW MUCH MONEY CONTRIBUTED IN ARTS, CULTURE, ETC
TOTWORK  HOW MUCH MONEY CONTRIBUTED IN WORK-RELATED ORG
TOTPOL   HOW MUCH MONEY CONTRIBUTED IN POLITICAL ORG. ETC
TOTYOUTH HOW MUCH MONEY CONTRIBUTED IN YOUTH DEVELOPMENT
TOTFOUND HOW MUCH MONEY CONTRIBUTED IN PRIV & COMM. FOUND
TOTINTL  HOW MUCH MONEY CONTRIBUTED IN INTERNATIONAL
TOTINFRM HOW MUCH MONEY CONTRIBUTED IN INFORMAL-ALONE
TOTOTH   HOW MUCH MONEY CONTRIBUTED IN OTHER (SPECIFY)
VALHLTH  ESTIMATED VALUE CONTRIBUTED IN HEALTH
VALEDUC  ESTIMATED VALUE CONTRIBUTED IN EDUCATION
VALRELIG ESTIMATED VALUE CONTRIBUTED IN RELIGIOUS ORG
VALHUMAN ESTIMATED VALUE CONTRIBUTED IN HUMAN SERVICES
VALENVIR ESTIMATED VALUE CONTRIBUTED IN ENVIRONMENT
VALPUB   ESTIMATED VALUE CONTRIBUTED IN PUB-SOC BENEFIT
VALREC   ESTIMATED VALUE CONTRIBUTED IN RECREATION ADULTS
                                         Page 41                   Index
VALART   ESTIMATED VALUE CONTRIBUTED IN ARTS, CULTURE, ETC
VALWORK  ESTIMATED VALUE CONTRIBUTED IN WORK-RELATED ORG
VALPOL   ESTIMATED VALUE CONTRIBUTED IN POLITICAL ORG. ETC
VALYOUTH ESTIMATED VALUE CONTRIBUTED IN YOUTH DEVELOPMENT
VALFOUND ESTIMATED VALUE CONTRIBUTED IN PRIV & COMM. FOUND
VALINTL  ESTIMATED VALUE CONTRIBUTED IN INTERNATIONAL
VALINFRM ESTIMATED VALUE CONTRIBUTED IN INFORMAL-ALONE
VALOTH   ESTIMATED VALUE CONTRIBUTED IN OTHER (SPECIFY)
HOMELESS CONTRIBUTED TO THE HOMELESS
NEEDYNEI CONTRIBUTED TO A NEEDY NEIGHBOR.
NEEDYREL CONTRIBUTED TO A NEEDY RELATIVE.
NEEDYFRD CONTRIBUTED TO A NEEDY FRIEND.
NEEDYOTH CONTRIBUTED TO OTHER NEEDY PERSON
PROBFIX1 FIRST MENTION OF PROBLEM
PROBFIX2 SECOND MENTION OF PROBLEM
PROBFIX3 THIRD MENTION OF PROBLEM
PROBHLP1 FIRST MENTION TO HELP PROBLEM
PROBHLP2 SECOND MENTION TO HELP PROBLEM
PROBHLP3 THIRD MENTION TO HELP PROBLEM
VIGVERSN VIGNETTE VERSION NUMBER
SERIOUSP HOW SERIOUS X S SITUATION IS
CHARACTR HOW LIKELY X S SITUATION CAUSED BY BAD CHARACTER
IMBALNCE HOW LIKELY X S SITUATION CAUSED BY IMBALANCE IN BRAIN
WAYRAISE HOW LIKELY X S SITUATION CAUSED BY THE WAY RAISED
STRESSES HOW LIKELY X S SITUATION CAUSED BY STRESS
GENETICS HOW LIKELY X S SITUATION CAUSED BY GENETIC PROBLEM
GODSWILL HOW LIKELY X S SITUATION CAUSED BY GOD S WILL
UPSDOWNS HOW LIKELY X IS EXPERIENCING NORMAL UPS-AND-DOWNS OF LIFE
BREAKDWN HOW LIKELY X IS EXPERIENCING NERVOUS BREAKDOWN
MENTLILL HOW LIKELY X IS EXPERIENCING MENTAL ILLNESS
PHYSILL  HOW LIKELY X IS EXPERIENCING PHYSICAL ILLNESS
VIGLABEL HOW LIKELY X IS EXPERIENCING VIGNETTES
DECTREAT HOW ABLE IS X TO DECIDE RECEIVE TREATMENT
DECMONEY HOW ABLE IS X TO DECIDE MANAGING OWN MONEY
IMPRVOWN HOW LIKELY X S SITUATION WILL IMPROVE ON ITS OWN
IMPRVTRT HOW LIKELY X S SITUATION WILL IMPROVE WITH TREATMENT
VIGNEI   HOW WILLING R WOULD HAVE X AS A NEIGHBOR
VIGSOC   HOW WILLING R WOULD SPEND TIME SOCIALIZING WITH X
VIGFRND  HOW WILLING R WOULD MAKE FRIENDS WITH X
VIGWORK  HOW WILLING R WOULD WORK CLOSELY WITH X ON A JOB
VIGGRP   HOW WILLING R WOULD HAVE A GROUP HOME FOR X
VIGMAR   HOW WILLING R WOULD HAVE X MARRY IN R'S FAMILY
HURTOTH  HOW LIKELY X VIOLENT TOWARD OTHER PEOPLE
HURTSELF HOW LIKELY X VIOLENT TOWARD ONESELF
TLKFAM   X SHOULD TALK TO FAMILY AND FRIENDS
TLKCLRGY X SHOULD TALK TO RELIGIOUS LEADER
MEDDOC   X SHOULD GO TO GENERAL MEDICAL DOCTOR FOR HELP
MENTLDOC X SHOULD GO TO PSYCHIATRIST FOR HELP
MENTLOTH X SHOULD GO TO OTHER MENTAL HEALTH PROFESSIONAL FOR HELP
SPHEALER X SHOULD GO TO SPIRITUAL HEALER FOR HELP
SELFHELP X SHOULD JOIN A SELF-GROUP WITH SIMILAR PROBLEM
OTCMED   X SHOULD TAKE NON-PRESCRIPTION MEDICATION
                                       Page 42                                       Index
RXMED    X SHOULD TAKE PRESCRIPTION MEDICATION
MENTLHOS X SHOULD CHECK INTO A MENTAL HOSPITAL
DOFIRST  WHICH OF THESE THINGS SHOULD R DO FIRST
ORTLKFM  IN WHAT ORDER TALK THINGS OVER WITH FAMILY & FRIENDS
ORTLKCLR IN WHAT ORDER TALK TO A MINISTER, PRIEST, RABBI ETC
ORMEDDOC IN WHAT ORDER GO TO A GENERAL MEDICAL DOCTOR
ORMNTLDC IN WHAT ORDER GO TO A PSYCHIATRIST FOR HELP
ORMNTLOT IN WHAT ORDER GO TO A THERAPIST, OR COUNSELOR
ORHEALER IN WHAT ORDER GO TO A SPIRITUAL OR A NATURAL HEALER
ORSLFHLP IN WHAT ORDER JOIN A SELF-HELP GROUP
OROTCMED IN WHAT ORDER TAKE NON-PRESCRIPTION MEDICATION
ORRXMED  IN WHAT ORDER TAKE PRESCRIPTION MEDICATION
ORMNTLHS IN WHAT ORDER CHECK INTO A MENTAL HOSPITAL
MUSTDOC  X SHOULD BE FORCED TO BE EXAMINED AT A CLINIC BY LAW
MUSTMED  X SHOULD BE FORCED TO TAKE PRESCRIBED MEDICATION BY LAW
MUSTHOSP X SHOULD BE ADMITTED TO BE HOSPITALIZED FOR TREATMENT BY LAW
DANGRSLF X SHOULD BE ADMITTED TO BE HOSPITALIZED FOR TREATMENT IF DANGEROUS TO X
DANGROTH X SHOULD BE ADMITTED TO BE HOSPITALIZED FOR TREATMENT IF DANGEROUS TO OTHERS
MEDCARE1 WHO R THINKS SHOULD BE MOST RESPONSIBLE FOR COST OF XS MEDICAL CARE
MEDCARE2 WHO R THINKS SHOULD BE NEXT MOST RESPONSIBLE FOR COST OF XS MEDICAL CARE
SPMENTL  GOVT SPENDING ON HEALTH
GOVMENTL SHOULD GOVT PROVIDE HEALTH CARE FOR MENTAL ILLNESS
MNTLAS1  1ST MENTION, WHAT MENTAL ILLNESS IS, ASSERTED
MNTLAS2  2ND MENTION, WHAT MENTAL ILLNESS IS, ASSERTED
MNTLIMP1 1ST MENTION, WHAT MENTAL ILLNESS IS, IMPUTED
MNTLIMP2 2ND MENTION, WHAT MENTAL ILLNESS IS, IMPUTED
MNTLIMP3 3RD MENTION, WHAT MENTAL ILLNESS IS, IMPUTED
MNTLSYM1 1ST MENTION, WHAT MENTAL ILLNESS IS, SYMPTOMS
MNTLSYM2 2ND MENTION, WHAT MENTAL ILLNESS IS, SYMPTOMS
MNTLSYM3 3RD MENTION, WHAT MENTAL ILLNESS IS, SYMPTOMS
MNTLOTH  WHAT MENTAL ILLNESS IS, OTHER CODES
BRKDAS1  1ST MENTION, WHAT NERVOUS BREAKDOWN IS, ASSERTED
BRKDAS2  2ND MENTION, WHAT NERVOUS BREAKDOWN IS, ASSERTED
BRKDIMP1 1ST MENTION, WHAT NERVOUS BREAKDOWN IS, IMPUTED
BRKDIMP2 2ND MENTION, WHAT NERVOUS BREAKDOWN IS, IMPUTED
BRKDIMP3 3RD MENTION, WHAT NERVOUS BREAKDOWN IS, IMPUTED
BRKDSYM1 1ST MENTION, WHAT NERVOUS BREAKDOWN IS, SYMPTOMS
BRKDSYM2 2ND MENTION, WHAT NERVOUS BREAKDOWN IS, SYMPTOMS
BRKDSYM3 3RD MENTION, WHAT NERVOUS BREAKDOWN IS, SYMPTOMS
BRKDOTH  WHAT NERVOUS BREAKDOWN IS, OTHER CODES
KNWMHOSP KNOW ANYONE WHO WAS IN A HOSPITAL
RELMHSP1 PATIENT WAS SELF
RELMHSP2 PATIENT WAS IMMEDIATE FAMILY
RELMHSP3 PATIENT WAS OTHER RELATIVES
RELMHSP4 PATIENT WAS CLOSE FRIEND
RELMHSP5 PATIENT WAS ACQUAINTANCE
RELMHSP6 PATIENT WAS OTHER
KNWPATNT KNOWN ANYONE SEEING A PSYCHOLOGIST ETC?
EVBRKDWN EVER FELT GOING TO HAVE A NERVOUS BREAKDOWN?
BRKDWHY1 1ST MENTION CAUSE OF NER. BREAK FEELINGS
BRKDWHY2 2ND MENTION CAUSE OF NER. BREAK FEELINGS
BRKDWHY3 3RD MENTION CAUSE OF NER. BREAK FEELINGS
                                       Page 43                                     Index
BRKDDO1  1ST MENTION WHAT R DID WHEN FELT NER. BREAK
BRKDDO2  2ND MENTION WHAT R DID WHEN FELT NER. BREAK
BRKDDO3  3RD MENTION WHAT R DID WHEN FELT NER. BREAK
BRKDHLP1 1ST MENTION WHAT HELP R SOUGHT
BRKDHLP2 2ND MENTION WHAT HELP R SOUGHT
BRKDHLP3 3RD MENTION WHAT HELP R SOUGHT
BRKDTIME WHEN FEELINGS OF NERVOUS BREAKDOWN HAPPENED
BRKDDUR  DURATION, SEVERITY OF NERVOUS BREAKDOWN FEELINGS
EVMHP    EVER HAD MENTAL HEALTH PROBLEM
MNILWHY1 1ST MENTION CAUSE OF MENTAL ILLNESS FEELINGS
MNILWHY2 2ND MENTION CAUSE OF MENTAL ILLNESS FEELINGS
MNILWHY3 3RD MENTION CAUSE OF MENTAL ILLNESS FEELINGS
MNILDO1  1ST MENTION WHAT R DID WHEN FELT MENTAL ILLNESS
MNILDO2  2ND MENTION WHAT R DID WHEN FELT MENTAL ILLNESS
MNILDO3  3RD MENTION WHAT R DID WHEN FELT MENTAL ILLNESS
MNILHLP1 1ST MENTION WHAT HELP R SOUGHT
MNILHLP2 2ND MENTION WHAT HELP R SOUGHT
MNILHLP3 3RD MENTION WHAT HELP R SOUGHT
MNILTIME WHEN FEELINGS OF MENTAL ILLNESS HAPPENED
MNILDUR  DURATION, SEVERITY OF FEELINGS OF MENTAL ILLNESS
KNWMW1   GENDER IDENTITY OF PERSON 1
KNWMW2   GENDER IDENTITY OF PERSON 2
KNWMW3   GENDER IDENTITY OF PERSON 3
KNWMW4   GENDER IDENTITY OF PERSON 4
KNWMW5   GENDER IDENTITY OF PERSON 5
MHP1R1   RELATION TO PERSON 1 (1ST MENTIONED)
MHP1R2   RELATION TO PERSON 1 (2ND MENTIONED)
MHP2R1   RELATION TO PERSON 2 (1ST MENTIONED)
MHP2R2   RELATION TO PERSON 2 (2ND MENTIONED)
MHP3R1   RELATION TO PERSON 3 (1ST MENTIONED)
MHP3R2   RELATION TO PERSON 3 (2ND MENTIONED)
MHP4R1   RELATION TO PERSON 4 (1ST MENTIONED)
MHP4R2   RELATION TO PERSON 4 (2ND MENTIONED)
MHP5R1   RELATION TO PERSON 5 (1ST MENTIONED)
MHP5R2   RELATION TO PERSON 5 (2ND MENTIONED)
CLOSETO1 HOW CLOSE R IS TO PERSON 1
CLOSETO2 HOW CLOSE R IS TO PERSON 2
CLOSETO3 HOW CLOSE R IS TO PERSON 3
CLOSETO4 HOW CLOSE R IS TO PERSON 4
CLOSETO5 HOW CLOSE R IS TO PERSON 5
SEETALK1 HOW FREQUENTLY R SEES OR TALKS TO PERSON 1
SEETALK2 HOW FREQUENTLY R SEES OR TALKS TO PERSON 2
SEETALK3 HOW FREQUENTLY R SEES OR TALKS TO PERSON 3
SEETALK4 HOW FREQUENTLY R SEES OR TALKS TO PERSON 4
SEETALK5 HOW FREQUENTLY R SEES OR TALKS TO PERSON 5
MHTREAT1 IS PERSON 1 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MHTREAT2 IS PERSON 2 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MHTREAT3 IS PERSON 3 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MHTREAT4 IS PERSON 4 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MHTREAT5 IS PERSON 5 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MYPROBS1 HOW MUCH PERSON 1'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
MYPROBS2 HOW MUCH PERSON 2'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
                                         Page 44                               Index
MYPROBS3 HOW MUCH PERSON 3'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
MYPROBS4 HOW MUCH PERSON 4'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
MYPROBS5 HOW MUCH PERSON 5'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
SEVERE1  HOW SEVERE PERSON 1'S MENTAL HEALTH PROBLEM IS
SEVERE2  HOW SEVERE PERSON 2'S MENTAL HEALTH PROBLEM IS
SEVERE3  HOW SEVERE PERSON 3'S MENTAL HEALTH PROBLEM IS
SEVERE4  HOW SEVERE PERSON 4'S MENTAL HEALTH PROBLEM IS
SEVERE5  HOW SEVERE PERSON 5'S MENTAL HEALTH PROBLEM IS
DANGOTH1 HOW DANGEROUS R THINKS PERSON 1 IS TO OTHERS
DANGOTH2 HOW DANGEROUS R THINKS PERSON 2 IS TO OTHERS
DANGOTH3 HOW DANGEROUS R THINKS PERSON 3 IS TO OTHERS
DANGOTH4 HOW DANGEROUS R THINKS PERSON 4 IS TO OTHERS
DANGOTH5 HOW DANGEROUS R THINKS PERSON 5 IS TO OTHERS
DANGSLF1 HOW DANGEROUS R THINKS PERSON 1 IS TO THEMSELF
DANGSLF2 HOW DANGEROUS R THINKS PERSON 2 IS TO THEMSELF
DANGSLF3 HOW DANGEROUS R THINKS PERSON 3 IS TO THEMSELF
DANGSLF4 HOW DANGEROUS R THINKS PERSON 4 IS TO THEMSELF
DANGSLF5 HOW DANGEROUS R THINKS PERSON 5 IS TO THEMSELF
FAMMHNEG R'S FAMILY'S NEGATIVE ATTITUDES ABOUT MH PROBLEMS
OTHMHNEG R'S OTHER ACQUAINTENCES NEGATIVE ATTITUDES ABOUT MH PROBLEMS
DIAGNOSD R EVER DIAGNOSED WITH MH PROBLEM
MHTREATD R EVER TREATED FOR MH PROBLEM
MCSDS1   I’M ALWAYS WILLING TO ADMIT IT WHEN I MAKE A MISTAKE
MCSDS2   I SOMETIMES TRY TO GET EVEN RATHER THAN FORGIVE AND FORGET
MCSDS3   AT TIMES I HAVE REALLY INSISTED ON HAVING THINGS MY OWN WAY
MCSDS4   OWN
MCSDS5   I HAVE NEVER DELIBERATELY SAID SOMETHING THAT HURT SOMEONE’S FEELINGS
MCSDS6   I LIKE TO GOSSIP AT TIMES
MCSDS7   THERE HAVE BEEN OCCASIONS WHEN I TOOK ADVANTAGE OF SOMEONE
PRIVPRAY HOW OFTEN PRAY PRIVATELY
MEDITATE HOW OFTEN MEDITATE
CONGHLP1 HOW MUCH CONGREGATION HELP OUT WITH ILL
CONGHLP2 HOW MUCH CONGREGATION HELP OUT WITH PROB
CONGHRM1 HOW OFTEN CONGREGATION MAKE TOO MUCH DEMAND
CONGHRM2 HOW OFTEN CONGREGATION CRITICAL OF THINGS R DO
COPE1    THINK ABOUT LIFE IS PART OF LARGER FORCE
COPE2    WORK TOGETHER WITH GOD AS PARTNER'S
COPE3    LOOK TO GOD FOR STRENGTH & SUPPORT
COPE4    FEEL GOD IS PUNISHING FOR SIN
COPE5    WONDER WHETHER GOD HAS ABANDONED ME
COPE6    TRY TO MAKE SENSE WITHOUT RELYING ON GOD
GODWATCH BELIEVE IN GOD WHO WATCH OVER ME
LESSPAIN FEEL DEEP SENSE OF RESP FOR REDUCING PAIN
RELLIFE  TRY TO CARRY BELIEFS INTO OTHER DEALINGS
FORGIVE1 HAVE FORGIVEN SELF FOR MISTAKES
FORGIVE2 HAVE FORGIVEN THOSE WHO HURT ME
FORGIVE3 KNOW THAT GOD FORGIVES ME
FEELGOD  FEEL GODS PRESENCE
RELCMFRT FIND STRENGTH AND COMFORT IN RELIGION
HARMONY  FEEL DEEP INNER PEACE OR HARMONY
UNIONGOD DESIRE TO BE CLOSER TO GOD
GODLOVE  FEEL GODS LOVE DIRECTLY OR THRU OTHERS
                                         Page 45                                    Index
BEAUSPRT SPIRITUALLY TOUCHED BY BEAUTY CREATION
NOCHEER  IN PAST 30 DAYS FEEL SAD
NERVOUS  IN PAST 30 DAYS FEEL NERVOUS
FIDGETY  IN PAST 30 DAYS FEEL RESTLESS OR FIDGETY
HOPELESS IN PAST 30 DAYS FEEL HOPELESS
EFFORT   IN PAST 30 DAYS FEEL EVERYTHING THING EFFORT
WRTHLESS IN PAST 30 DAYS FEEL WORTHLESS
LOTR1    IN UNCERTAIN TIMES I USUALLY EXPECT BEST
LOTR2    IF SOMETHING CAN GO WRONG FOR ME IT WILL
LOTR3    I'M ALWAYS OPTIMISTIC ABOUT MY FUTURE
LOTR4    I HARDLY EVER EXPECT THINGS TO GO MY WAY
LOTR5    I RARELY COUNT ON GOOD THINGS HAPPENING TO ME
LOTR6    I EXPECT MORE GOOD THINGS TO HAPPEN TO ME THAN BAD
HOPE1    I COULD GET OUT OF A JAM
HOPE2    I AM ENERGETICALLY PURSUING MY GOALS
HOPE3    THERE ARE MANY WAYS AROUND PROBLEMS I FACE
HOPE4    I SEE MYSELF AS SUCCESSFUL
HOPE5    I CAN THINK OF MANY WAYS TO REACH MY CURRENT GOALS
HOPE6    I AM MEETING MY CURRENT GOALS
RELPERSN R CONSIDER SELF A RELIGIOUS PERSON
SPRTPRSN R CONSIDER SELF A SPIRITUAL PERSON
RELEXP   HAVE RELIGIOUS EXPERIENCE CHANGED LIFE
NATARTS  SPENDING RIGHT AMOUNT ON ARTS
ARTGOD   THRU ART AND MUSIC WE COME CLOSER TO GOD
ARTISTS  EXCELLENT ARTISTS ABLE SUPPORT THEMSELVES
IRRELART SHOULD ALLOW ART TO MOCK OR DEMEAN RELIGION
IRRELOFF OFFENDED ART MOCKS OR DEMEANS RELIGION
AIMOFART AIM OF ART
READFICT READ NOVELS POEMS OR PLAYS
POPMUSIC WENT TO A LIVE PERFORMANCE OF POPULAR MUSIC
DRAMA    WENT TO A LIVE DRAMA
RELART   HAD EXPERIENCE OF ART AT PLACE OF WORSHIP
VOLARTS  VOLUNTEERED FOR ORGANIZATIONS OF ARTS
NATLART  FEEL FED GOV SHOULD PROVIDE ASSISTANCE TO ART
STATEART FEEL STATE GOV SHOULD PROVIDE ASSISTANCE TO ART
LOCALART FEEL LOCAL GOV SHOULD PROVIDE ASSISTANCE TO ART
